Day,Y,Updated Y,OverallInfectionRate
1,0.00000252860818914124,0.00001946767347040100,0.61
2,0.00000266261648058574,0.00001960168176184550,0.61
3,0.00000280372593991238,0.00001974279122117220,0.61
4,0.00000295231276908317,0.00001989137805034300,0.61
5,0.00000310877309022037,0.00002004783837148020,0.61
6,0.00000327352399929706,0.00002021258928055690,0.61
7,0.00000344700467544433,0.00002038606995670410,0.61
8,0.00000362967754879730,0.00002056874283005710,0.61
9,0.00000382202952995504,0.00002076109481121480,0.61
10,0.00000402457330428869,0.00002096363858554850,0.61
11,0.00000423784869450093,0.00002117691397576070,0.61
12,0.00000446242409501582,0.00002140148937627560,0.61
13,0.00000469889798196412,0.00002163796326322390,0.61
14,0.00000494790050272391,0.00002188696578398370,0.61
15,0.00000521009514918125,0.00002214916043044100,0.61
16,0.00000548618051909059,0.00002242524580035040,0.61
17,0.00000577689217014059,0.00002271595745140040,0.61
18,0.00000608300457156819,0.00002302206985282800,0.61
19,0.00000640533315841280,0.00002334439843967260,0.61
20,0.00000674473649376371,0.00002368380177502350,0.61
21,0.00000710211854462819,0.00002404118382588800,0.61
22,0.00000747843107733557,0.00002441749635859540,0.61
23,0.00000787467617869449,0.00002481374145995430,0.61
24,0.00000829190890943704,0.00002523097419069680,0.61
25,0.00000873124009681583,0.00002567030537807560,0.61
26,0.00000919383927356780,0.00002613290455482760,0.61
27,0.00000968093777082372,0.00002662000305208350,0.61
28,0.00001019383197292440,0.00002713289725418420,0.61
29,0.00001073388674250540,0.00002767295202376520,0.61
30,0.00001130253902463010,0.00002824160430588990,0.61
31,0.00001190130163919330,0.00002884036692045310,0.61
32,0.00001253176727127110,0.00002947083255253090,0.61
33,0.00001319561266958060,0.00003013467795084040,0.61
34,0.00001389460306370910,0.00003083366834496890,0.61
35,0.00001463059681130120,0.00003156966209256100,0.61
36,0.00001540555028694060,0.00003234461556820040,0.61
37,0.00001622152302503620,0.00003316058830629600,0.61
38,0.00001708068312961950,0.00003401974841087930,0.61
39,0.00001798531296458580,0.00003492437824584560,0.61
40,0.00001893781513856160,0.00003587688041982140,0.61
41,0.00001994071879925960,0.00003687978408051940,0.61
42,0.00002099668625288550,0.00003793575153414530,0.61
43,0.00002210851992490130,0.00003904758520616110,0.61
44,0.00002327916967920690,0.00004021823496046670,0.61
45,0.00002451174051360070,0.00004145080579486050,0.61
46,0.00002580950065020010,0.00004274856593145990,0.61
47,0.00002717589004035980,0.00004411495532161960,0.61
48,0.00002861452930450700,0.00004555359458576680,0.61
49,0.00003012922912823240,0.00004706829440949220,0.61
50,0.00003172400013691800,0.00004866306541817780,0.61
51,0.00003340306327216280,0.00005034212855342260,0.61
52,0.00003517086069427040,0.00005210992597553020,0.61
53,0.00003703206723610130,0.00005397113251736110,0.61
54,0.00003899160243465430,0.00005593066771591410,0.61
55,0.00004105464316783210,0.00005799370844909190,0.61
56,0.00004322663692496260,0.00006016570220622240,0.61
57,0.00004551331574078510,0.00006245238102204490,0.61
58,0.00004792071082376940,0.00006485977610502920,0.61
59,0.00005045516791081230,0.00006739423319207210,0.61
60,0.00005312336338154550,0.00007006242866280530,0.61
61,0.00005593232116668740,0.00007287138644794720,0.61
62,0.00005888943048607460,0.00007582849576733440,0.61
63,0.00006200246445320970,0.00007894152973446950,0.61
64,0.00006527959958435300,0.00008221866486561280,0.61
65,0.00006872943625136290,0.00008566850153262270,0.61
66,0.00007236102011863710,0.00008930008539989690,0.61
67,0.00007618386460561940,0.00009312292988687920,0.61
68,0.00008020797441740360,0.00009714703969866340,0.61
69,0.00008444387018696510,0.00010138293546822500,0.61
70,0.00008890261427347780,0.00010584167955473800,0.61
71,0.00009359583776200590,0.00011053490304326600,0.61
72,0.00009853576871057230,0.00011547483399183200,0.61
73,0.00010373526169119100,0.00012067432697245100,0.61
74,0.00010920782867186800,0.00012614689395312800,0.61
75,0.00011496767128680700,0.00013190673656806600,0.61
76,0.00012102971454206300,0.00013796877982332200,0.61
77,0.00012740964200366900,0.00014434870728492900,0.61
78,0.00013412393251469200,0.00015106299779595200,0.61
79,0.00014118989848683000,0.00015812896376809000,0.61
80,0.00014862572581092600,0.00016556479109218600,0.61
81,0.00015645051542905400,0.00017338958071031400,0.61
82,0.00016468432660868900,0.00018162339188994900,0.61
83,0.00017334822195673000,0.00019028728723799000,0.61
84,0.00018246431420778600,0.00019940337948904600,0.61
85,0.00019205581481707500,0.00020899488009833500,0.61
86,0.00020214708438342600,0.00021908614966468600,0.61
87,0.00021276368492214700,0.00022970275020340700,0.61
88,0.00022393243400078300,0.00024087149928204300,0.61
89,0.00023568146074298300,0.00025262052602424300,0.61
90,0.00024804026369661900,0.00026497932897787900,0.61
91,0.00026103977055193500,0.00027797883583319500,0.61
92,0.00027471239968355600,0.00029165146496481600,0.61
93,0.00028909212347666400,0.00030603118875792400,0.61
94,0.00030421453338222400,0.00032115359866348300,0.61
95,0.00032011690662875300,0.00033705597191001300,0.61
96,0.00033683827449850200,0.00035377733977976200,0.61
97,0.00035441949205386200,0.00037135855733512200,0.61
98,0.00037290330917513800,0.00038984237445639800,0.61
99,0.00039233444274321300,0.00040927350802447200,0.61
100,0.00041275964976989600,0.00042969871505115600,0.61
101,0.00043422780124458100,0.00045116686652584000,0.61
102,0.00045678995642793100,0.00047372902170919100,0.61
103,0.00048049943728146900,0.00049743850256272900,0.61
104,0.00050541190267565200,0.00052235096795691200,0.61
105,0.00053158542196821700,0.00054852448724947700,0.61
106,0.00055908054748868000,0.00057601961276994000,0.61
