Day,Y,Updated Y,OverallInfectionRate
114,0.0000859247606124679,0.0000965561394832289,0.42
115,0.0000884860176357950,0.0000991173965065560,0.42
116,0.0000911231019650360,0.0001017544808357970,0.42
117,0.0000938382270190926,0.0001044696058898540,0.42
118,0.0000966336689143189,0.0001072650477850800,0.42
119,0.0000995117681236063,0.0001101431469943670,0.42
120,0.0001024749311721010,0.0001131063100428620,0.42
121,0.0001055256323698860,0.0001161570112406470,0.42
122,0.0001086664155819230,0.0001192977944526840,0.42
123,0.0001118998960355290,0.0001225312749062900,0.42
124,0.0001152287621655930,0.0001258601410363540,0.42
125,0.0001186557774977240,0.0001292871563684850,0.42
126,0.0001221837825694500,0.0001328151614402110,0.42
127,0.0001258156968895550,0.0001364470757603160,0.42
128,0.0001295545209355620,0.0001401858998063230,0.42
129,0.0001334033381893260,0.0001440347170600870,0.42
130,0.0001373653172106300,0.0001479966960813910,0.42
131,0.0001414437137485840,0.0001520750926193450,0.42
132,0.0001456418728905910,0.0001562732517613520,0.42
133,0.0001499632312485110,0.0001605946101192720,0.42
134,0.0001544113191815980,0.0001650426980523590,0.42
135,0.0001589897630556630,0.0001696211419264240,0.42
136,0.0001637022875378390,0.0001743336664086000,0.42
137,0.0001685527179261670,0.0001791840967969280,0.42
138,0.0001735449825131580,0.0001841763613839190,0.42
139,0.0001786831149822920,0.0001893144938530530,0.42
140,0.0001839712568363410,0.0001946026357071020,0.42
141,0.0001894136598561930,0.0002000450387269540,0.42
142,0.0001950146885887490,0.0002056460674595100,0.42
143,0.0002007788228622620,0.0002114102017330230,0.42
144,0.0002067106603273070,0.0002173420391980680,0.42
145,0.0002128149190214200,0.0002234462978921810,0.42
146,0.0002190964399551690,0.0002297278188259300,0.42
147,0.0002255601897172830,0.0002361915685880440,0.42
148,0.0002322112630961710,0.0002428426419669320,0.42
149,0.0002390548857149560,0.0002496862645857170,0.42
150,0.0002460964166768730,0.0002567277955476340,0.42
151,0.0002533413512176220,0.0002639727300883830,0.42
152,0.0002607953233609510,0.0002714267022317120,0.42
153,0.0002684641085734720,0.0002790954874442330,0.42
154,0.0002763536264143580,0.0002869850052851190,0.42
155,0.0002844699431752410,0.0002951013220460030,0.42
156,0.0002928192745052760,0.0003034506533760370,0.42
157,0.0003014079880159380,0.0003120393668866990,0.42
158,0.0003102426058597370,0.0003208739847304980,0.42
159,0.0003193298072766070,0.0003299611861473680,0.42
160,0.0003286764311012650,0.0003393078099720260,0.42
161,0.0003382894782244060,0.0003489208570951670,0.42
162,0.0003481761140000820,0.0003588074928708430,0.42
163,0.0003583436705910960,0.0003689750494618570,0.42
164,0.0003687996492437460,0.0003794310281145070,0.42
165,0.0003795517224826260,0.0003901831013533870,0.42
166,0.0003906077362156730,0.0004012391150864340,0.42
167,0.0004019757117389750,0.0004126070906097360,0.42
168,0.0004136638476302510,0.0004242952265010120,0.42
169,0.0004256805215192230,0.0004363119003899840,0.42
170,0.0004380342917224230,0.0004486656705931840,0.42
171,0.0004507338987292250,0.0004613652775999860,0.42
172,0.0004637882665251720,0.0004744196453959330,0.42
173,0.0004772065037378560,0.0004878378826086170,0.42
174,0.0004909979045898090,0.0005016292834605700,0.42
175,0.0005051719496420430,0.0005158033285128040,0.42
176,0.0005197383063109630,0.0005303696851817240,0.42
177,0.0005347068291405410,0.0005453382080113020,0.42
178,0.0005500875598106580,0.0005607189386814190,0.42
179,0.0005658907268616190,0.0005765221057323800,0.42
180,0.0005821267451138420,0.0005927581239846030,0.42
181,0.0005988062147607320,0.0006094375936314930,0.42
182,0.0006159399201117340,0.0006265712989824950,0.42
183,0.0006335388279615030,0.0006441702068322640,0.42
184,0.0006516140855600830,0.0006622454644308440,0.42
185,0.0006701770181578960,0.0006808083970286570,0.42
186,0.0006892391260982490,0.0006998705049690100,0.42
187,0.0007088120814289780,0.0007194434602997390,0.42
188,0.0007289077240037110,0.0007395391028744720,0.42
189,0.0007495380570421540,0.0007601694359129150,0.42
190,0.0007707152421176520,0.0007813466209884130,0.42
191,0.0007924515935392050,0.0008030829724099660,0.42
192,0.0008147595720940120,0.0008253909509647730,0.42
193,0.0008376517781155230,0.0008482831569862840,0.42
194,0.0008611409438409790,0.0008717723227117400,0.42
195,0.0008852399250213330,0.0008958713038920940,0.42
196,0.0009099616917455380,0.0009205930706162990,0.42
197,0.0009353193184402160,0.0009459506973109770,0.42
198,0.0009613259730048660,0.0009719573518756270,0.42
199,0.0009879949050419930,0.0009986262839127540,0.42
200,0.0010153394331407900,0.0010259708120115500,0.42
201,0.0010433729311724300,0.0010540043100431900,0.42
202,0.0010721088135544600,0.0010827401924252200,0.42
203,0.0011015605194414300,0.0011121918983121900,0.42
204,0.0011317414957986600,0.0011423728746694200,0.42
205,0.0011626651793158800,0.0011732965581866400,0.42
206,0.0011943449771175700,0.0012049763559883300,0.42
207,0.0012267942462271400,0.0012374256250979000,0.42
